Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2020-09-01 00:00:00,4.0,590.0,0.26,1,no
2020-09-02 00:00:00,11.0,2913.0,1.27,2,no
2020-09-03 00:00:00,4.0,1829.0,0.811,3,no
2020-09-04 00:00:00,6.0,2718.0,1.36,4,no
2020-09-05 00:00:00,3.0,1048.0,0.448,5,no
2020-09-06 00:00:00,3.0,788.0,0.332,6,no
2020-09-07 00:00:00,3.0,2379.0,0.928,0,no
2020-09-08 00:00:00,4.0,512.0,0.234,1,no
2020-09-09 00:00:00,2.0,377.0,0.167,2,no
2020-09-10 00:00:00,1.0,520.0,0.227,3,no
2020-09-11 00:00:00,4.0,2412.0,1.05,4,no
2020-09-12 00:00:00,6.0,1572.0,0.668,5,no
2020-09-13 00:00:00,5.0,1159.0,0.488,6,no
2020-09-14 00:00:00,3.0,582.0,0.251,0,no
2020-09-15 00:00:00,3.0,536.0,0.241,1,no
2020-09-16 00:00:00,2.0,1553.0,0.662,2,no
2020-09-17 00:00:00,5.0,2534.0,1.07,3,no
2020-09-18 00:00:00,2.0,516.14,0.222,4,no
2020-09-19 00:00:00,2.0,1359.0,0.568,5,no
2020-09-20 00:00:00,4.0,1224.0,0.521,6,no
2020-09-21 00:00:00,4.0,614.0,0.268,0,no
2020-09-22 00:00:00,4.0,400.0,0.168,1,no
2020-09-23 00:00:00,1.0,407.0,0.182,2,no
2020-09-24 00:00:00,3.0,1723.0,0.77,3,no
2020-09-25 00:00:00,2.0,989.0,0.414,4,no
2020-09-26 00:00:00,4.0,568.0,0.26,5,no
2020-09-27 00:00:00,3.0,1804.0,0.828,6,no
2020-09-28 00:00:00,1.0,655.0,0.284,0,no
2020-09-29 00:00:00,3.0,1684.0,0.77,1,no
2020-09-30 00:00:00,1.0,1351.0,0.613,2,no
2020-10-01 00:00:00,5.0,1330.0,0.547,3,no
2020-10-02 00:00:00,6.0,1800.0,0.79,4,no
2020-10-03 00:00:00,2.0,465.0,0.195,5,no
2020-10-04 00:00:00,3.0,536.0,0.239,6,no
2020-10-05 00:00:00,5.0,1081.0,0.471,0,no
2020-10-06 00:00:00,4.0,489.0,0.213,1,no
2020-10-07 00:00:00,2.0,366.0,0.16,2,no
2020-10-08 00:00:00,3.0,1556.0,0.687,3,no
2020-10-09 00:00:00,3.0,495.0,0.228,4,no
2020-10-10 00:00:00,2.0,303.0,0.135,5,no
2020-10-11 00:00:00,3.0,226.0,0.101,6,no
2020-10-12 00:00:00,4.0,631.0,0.272,0,no
2020-10-13 00:00:00,4.0,439.0,0.188,1,no
2020-10-14 00:00:00,3.0,674.0,0.302,2,no
2020-10-15 00:00:00,3.0,1513.0,0.622,3,no
2020-10-16 00:00:00,4.0,671.0,0.28,4,no
2020-10-17 00:00:00,2.0,466.0,0.204,5,no
2020-10-18 00:00:00,2.0,1070.0,0.433,6,no
2020-10-19 00:00:00,3.0,409.0,0.186,0,no
2020-10-20 00:00:00,7.0,902.0,0.406,1,no
2020-10-21 00:00:00,3.0,440.0,0.199,2,no
2020-10-22 00:00:00,6.0,810.0,0.351,3,no
2020-10-23 00:00:00,3.0,715.0,0.333,4,no
2020-10-24 00:00:00,3.0,4052.0,1.57,5,no
2020-10-25 00:00:00,5.0,980.0,0.44,6,no
2020-10-26 00:00:00,4.0,744.0,0.324,0,no
2020-10-27 00:00:00,3.0,549.0,0.243,1,no
2020-10-28 00:00:00,2.0,310.0,0.137,2,no
2020-10-29 00:00:00,5.0,1213.0,0.524,3,no
2020-10-30 00:00:00,4.0,1495.0,0.657,4,no
2020-10-31 00:00:00,12.0,1917.0,0.825,5,no
2020-11-01 00:00:00,5.0,2861.0,1.16,6,no
2020-11-02 00:00:00,4.0,799.0,0.349,0,no
2020-11-03 00:00:00,6.0,866.0,0.375,1,no
2020-11-04 00:00:00,3.0,322.0,0.143,2,no
2020-11-05 00:00:00,5.0,520.0,0.231,3,no
2020-11-06 00:00:00,4.0,706.0,0.31,4,no
2020-11-07 00:00:00,4.0,1637.0,0.716,5,no
2020-11-08 00:00:00,4.0,840.0,0.357,6,no
2020-11-09 00:00:00,4.0,760.0,0.328,0,no
2020-11-10 00:00:00,1.0,134.0,0.056,1,no
2020-11-11 00:00:00,5.0,966.0,0.423,2,no
2020-11-12 00:00:00,4.0,1901.0,0.805,3,no
2020-11-13 00:00:00,3.0,997.0,0.428,4,no
2020-11-14 00:00:00,4.0,1048.0,0.453,5,no
2020-11-15 00:00:00,4.0,636.0,0.283,6,no
2020-11-16 00:00:00,6.0,1071.0,0.475,0,no
2020-11-17 00:00:00,2.0,465.0,0.206,1,no
2020-11-18 00:00:00,2.0,686.0,0.305,2,no
2020-11-19 00:00:00,4.0,1540.0,0.59,3,no
2020-11-20 00:00:00,6.0,971.0,0.428,4,no
2020-11-21 00:00:00,6.0,3724.0,1.53,5,no
2020-11-22 00:00:00,3.0,823.0,0.366,6,no
2020-11-23 00:00:00,5.0,767.0,0.326,0,no
2020-11-24 00:00:00,10.0,1739.0,0.74,1,no
2020-11-25 00:00:00,4.0,2792.0,1.16,2,no
2020-11-26 00:00:00,4.0,606.0,0.265,3,no
2020-11-27 00:00:00,1.0,1210.0,0.538,4,no
2020-11-28 00:00:00,3.0,931.0,0.415,5,no
2020-11-29 00:00:00,4.0,1054.0,0.458,6,no
2020-11-30 00:00:00,1.0,272.0,0.111,0,no
2020-12-01 00:00:00,2.0,318.0,0.142,1,no
2020-12-02 00:00:00,3.0,865.0,0.382,2,no
2020-12-03 00:00:00,5.0,2384.0,0.992,3,no
2020-12-04 00:00:00,3.0,770.0,0.342,4,no
2020-12-05 00:00:00,7.0,1619.0,0.694,5,no
2020-12-06 00:00:00,2.0,627.26,0.276,6,no
2020-12-07 00:00:00,4.0,847.0,0.37,0,no
2020-12-08 00:00:00,1.0,407.0,0.178,1,no
2020-12-09 00:00:00,4.0,578.0,0.242,2,no
2020-12-10 00:00:00,2.0,500.0,0.221,3,no
2020-12-11 00:00:00,6.0,1784.0,0.867,4,no
2020-12-12 00:00:00,4.0,698.0,0.309,5,no
2020-12-13 00:00:00,2.0,580.0,0.248,6,no
2020-12-14 00:00:00,2.0,493.0,0.207,0,no
2020-12-15 00:00:00,2.0,2075.0,0.801,1,no
2020-12-16 00:00:00,1.0,144.0,0.058,2,no
2020-12-17 00:00:00,10.0,4277.0,1.93,3,no
2020-12-18 00:00:00,5.0,806.0,0.356,4,no
2020-12-19 00:00:00,1.0,628.0,0.273,5,no
2020-12-20 00:00:00,2.0,1804.0,0.78,6,no
2020-12-21 00:00:00,4.0,2593.0,1.18,0,no
2020-12-22 00:00:00,4.0,624.0,0.276,1,no
2020-12-23 00:00:00,4.0,727.0,0.31,2,no
2020-12-24 00:00:00,3.0,2386.0,0.981,3,no
2020-12-25 00:00:00,9.0,6496.0,3.08,4,no
2020-12-26 00:00:00,3.0,807.0,0.346,5,no
2020-12-27 00:00:00,10.0,6391.0,2.69,6,no
2020-12-28 00:00:00,8.0,4652.0,2.03,0,no
2020-12-29 00:00:00,6.0,943.71,0.414,1,no
2020-12-30 00:00:00,3.0,1730.0,0.71,2,no
2020-12-31 00:00:00,4.0,1484.0,0.635,3,no
2021-01-01 00:00:00,2.0,418.0,0.183,4,no
2021-01-02 00:00:00,5.0,897.0,0.371,5,no
2021-01-03 00:00:00,1.0,199.0,0.091,6,no
2021-01-04 00:00:00,2.0,169.0,0.076,0,no
2021-01-05 00:00:00,2.0,329.0,0.148,1,no
2021-01-06 00:00:00,3.0,519.0,0.243,2,no
2021-01-07 00:00:00,4.0,1227.0,0.522,3,no
2021-01-08 00:00:00,4.0,1357.0,0.606,4,no
2021-01-09 00:00:00,4.0,3124.0,1.41,5,no
2021-01-10 00:00:00,2.0,339.0,0.148,6,no
2021-01-11 00:00:00,6.0,1123.0,0.461,0,no
2021-01-12 00:00:00,2.0,356.0,0.158,1,no
2021-01-13 00:00:00,3.0,812.0,0.36,2,no
2021-01-14 00:00:00,1.0,215.0,0.1,3,no
2021-01-15 00:00:00,2.0,707.0,0.319,4,no
2021-01-16 00:00:00,1.0,4120.0,1.59,5,no
2021-01-17 00:00:00,3.0,618.0,0.275,6,no
2021-01-18 00:00:00,3.0,660.0,0.303,0,no
2021-01-19 00:00:00,1.0,177.0,0.075,1,no
2021-01-20 00:00:00,4.0,1708.0,0.669,2,no
2021-01-21 00:00:00,2.0,310.0,0.135,3,no
2021-01-22 00:00:00,5.0,1041.0,0.469,4,no
2021-01-23 00:00:00,3.0,531.0,0.241,5,no
2021-01-24 00:00:00,3.0,915.0,0.391,6,no
2021-01-25 00:00:00,4.0,800.0,0.364,0,no
2021-01-26 00:00:00,1.0,165.0,0.077,1,no
2021-01-27 00:00:00,3.0,761.0,0.326,2,no
2021-01-28 00:00:00,3.0,532.0,0.245,3,no
2021-01-29 00:00:00,4.0,898.0,0.39,4,no
2021-01-30 00:00:00,2.0,278.0,0.122,5,no
2021-01-31 00:00:00,4.0,735.0,0.307,6,no
2021-02-01 00:00:00,5.0,1122.0,0.485,0,no
2021-02-02 00:00:00,1.0,252.0,0.113,1,no
2021-02-03 00:00:00,3.0,1082.0,0.483,2,no
2021-02-04 00:00:00,2.0,548.0,0.229,3,no
2021-02-05 00:00:00,2.0,640.0,0.278,4,no
2021-02-06 00:00:00,3.0,1256.0,0.539,5,no
2021-02-07 00:00:00,3.0,906.0,0.388,6,no
2021-02-08 00:00:00,4.0,877.0,0.369,0,no
2021-02-09 00:00:00,4.0,660.0,0.287,1,no
2021-02-10 00:00:00,3.0,571.0,0.252,2,no
2021-02-11 00:00:00,3.0,2067.0,0.892,3,no
2021-02-12 00:00:00,8.0,3327.0,1.4,4,no
2021-02-13 00:00:00,16.0,3543.0,1.63,5,no
2021-02-14 00:00:00,6.0,2280.0,1.0,6,no
2021-02-15 00:00:00,3.0,994.0,0.411,0,no
2021-02-16 00:00:00,2.0,409.0,0.166,1,no
2021-02-17 00:00:00,3.0,478.0,0.214,2,no
2021-02-18 00:00:00,5.0,676.0,0.315,3,no
2021-02-19 00:00:00,4.0,991.0,0.429,4,no
2021-02-20 00:00:00,3.0,1913.0,0.784,5,no
2021-02-21 00:00:00,2.0,453.0,0.193,6,no
2021-02-22 00:00:00,3.0,835.0,0.354,0,no
2021-02-23 00:00:00,1.0,189.0,0.086,1,no
2021-02-24 00:00:00,1.0,292.0,0.133,2,no
2021-02-25 00:00:00,1.0,546.0,0.223,3,no
2021-02-26 00:00:00,3.0,3290.0,1.36,4,no
2021-02-27 00:00:00,7.0,2109.0,0.899,5,no
2021-02-28 00:00:00,4.0,855.0,0.376,6,no
2021-03-01 00:00:00,4.0,1027.0,0.415,0,no
2021-03-02 00:00:00,5.0,328.0,0.139,1,no
2021-03-03 00:00:00,6.0,1954.0,0.75,2,no
2021-03-04 00:00:00,2.0,341.0,0.15,3,no
2021-03-05 00:00:00,4.0,939.0,0.405,4,no
2021-03-06 00:00:00,3.0,1145.0,0.499,5,no
2021-03-07 00:00:00,6.0,1139.0,0.493,6,no
2021-03-08 00:00:00,4.0,1864.0,0.867,0,no
2021-03-09 00:00:00,4.0,1651.0,0.695,1,no
2021-03-10 00:00:00,6.0,2338.0,0.915,2,no
2021-03-11 00:00:00,4.0,2238.0,1.01,3,no
2021-03-12 00:00:00,3.0,790.0,0.346,4,no
2021-03-13 00:00:00,3.0,722.0,0.312,5,no
2021-03-14 00:00:00,2.0,990.0,0.405,6,no
2021-03-15 00:00:00,2.0,684.0,0.267,0,no
2021-03-16 00:00:00,3.0,500.0,0.22,1,no
2021-03-17 00:00:00,5.0,3635.0,1.65,2,no
2021-03-18 00:00:00,1.0,1657.0,0.67,3,no
2021-03-19 00:00:00,7.0,1152.0,0.489,4,no
2021-03-20 00:00:00,4.0,1090.0,0.482,5,no
2021-03-21 00:00:00,1.0,383.0,0.166,6,no
2021-03-22 00:00:00,5.0,1325.0,0.538,0,no
2021-03-23 00:00:00,2.0,3468.0,1.3,1,no
2021-03-24 00:00:00,1.0,8896.0,3.57,2,no
2021-03-25 00:00:00,3.0,9351.0,4.04,3,no
2021-03-26 00:00:00,4.0,9336.0,3.62,4,no
2021-03-27 00:00:00,3.0,7259.0,3.17,5,no
2021-03-28 00:00:00,11.0,9890.0,4.41,6,no
2021-03-29 00:00:00,1.0,9543.0,3.85,0,no
2021-03-30 00:00:00,1.0,9291.0,3.91,1,no
2021-03-31 00:00:00,12.0,13205.0,6.06,2,no
2021-04-01 00:00:00,8.0,9590.0,4.39,3,no
2021-04-02 00:00:00,4.0,2492.0,1.07,4,no
2021-04-03 00:00:00,4.0,917.0,0.398,5,no
2021-04-04 00:00:00,4.0,920.0,0.381,6,no
2021-04-05 00:00:00,1.0,337.0,0.142,0,no
2021-04-06 00:00:00,2.0,9233.0,4.02,1,no
2021-04-07 00:00:00,3.0,11039.0,4.94,2,no
2021-04-08 00:00:00,2.0,5470.0,2.42,3,no
2021-04-09 00:00:00,1.0,8598.0,3.67,4,no
2021-04-10 00:00:00,3.0,1355.0,0.575,5,no
2021-04-11 00:00:00,3.0,666.0,0.29,6,no
2021-04-12 00:00:00,2.0,914.0,0.402,0,no
2021-04-13 00:00:00,2.0,7746.0,3.36,1,no
2021-04-14 00:00:00,2.0,14980.0,6.44,2,no
2021-04-15 00:00:00,3.0,8102.0,3.41,3,no
2021-04-16 00:00:00,1.0,9882.0,4.46,4,no
2021-04-17 00:00:00,1.0,13378.0,5.89,5,no
2021-04-18 00:00:00,1.5,2637.0,1.09,6,no
2021-04-19 00:00:00,2.0,3618.0,1.63,0,no
2021-04-20 00:00:00,1.0,7564.0,3.46,1,no
2021-04-21 00:00:00,2.0,3448.0,1.57,2,no
2021-04-22 00:00:00,5.0,5067.0,2.27,3,no
2021-04-23 00:00:00,10.0,3624.0,1.69,4,no
2021-04-24 00:00:00,4.0,1483.0,0.655,5,no
2021-04-25 00:00:00,2.0,5246.0,2.23,6,no
2021-04-26 00:00:00,2.3333333333333335,10929.0,4.74,0,no
2021-04-27 00:00:00,2.6666666666666665,14420.0,6.53,1,no
2021-04-28 00:00:00,3.0,8738.0,3.98,2,no
2021-04-29 00:00:00,3.0,12673.0,5.71,3,no
2021-04-30 00:00:00,1.0,17091.0,7.76,4,no
2021-05-01 00:00:00,4.0,8012.0,3.4,5,no
2021-05-02 00:00:00,7.0,8605.0,3.49,6,no
2021-05-03 00:00:00,3.0,5113.0,2.28,0,no
2021-05-04 00:00:00,2.0,4878.0,2.2,1,no
2021-05-05 00:00:00,8.0,9132.0,4.28,2,no
2021-05-06 00:00:00,2.0,4205.0,1.82,3,no
2021-05-07 00:00:00,2.0,8519.0,3.88,4,no
2021-05-08 00:00:00,5.0,13371.0,5.64,5,no
2021-05-09 00:00:00,2.0,5423.0,2.25,6,no
2021-05-10 00:00:00,3.0,8316.0,3.51,0,no
2021-05-11 00:00:00,3.0,7260.0,3.14,1,no
2021-05-12 00:00:00,3.0,9765.0,4.53,2,no
2021-05-13 00:00:00,2.0,8647.0,3.81,3,no
2021-05-14 00:00:00,7.0,12244.0,5.32,4,no
2021-05-15 00:00:00,5.0,8063.0,3.19,5,no
2021-05-16 00:00:00,3.0,8117.0,3.63,6,no
2021-05-17 00:00:00,5.0,16504.0,7.41,0,no
2021-05-18 00:00:00,8.0,9863.0,4.46,1,no
2021-05-19 00:00:00,4.0,11481.0,4.69,2,no
2021-05-20 00:00:00,6.0,4723.0,2.13,3,no
2021-05-21 00:00:00,8.0,3383.0,1.56,4,no
2021-05-22 00:00:00,9.0,3410.0,1.54,5,no
2021-05-23 00:00:00,3.0,3227.0,1.42,6,no
2021-05-24 00:00:00,2.0,4685.0,2.05,0,no
2021-05-25 00:00:00,4.0,3934.0,1.61,1,no
2021-05-26 00:00:00,3.0,7411.0,3.11,2,no
2021-05-27 00:00:00,3.0,8455.0,3.63,3,no
2021-05-28 00:00:00,1.0,5591.0,2.46,4,no
2021-05-29 00:00:00,2.0,9919.0,4.32,5,no
2021-05-30 00:00:00,2.5,7239.0,3.35,6,no
2021-05-31 00:00:00,3.0,5349.0,2.18,0,no
2021-06-01 00:00:00,4.5,3815.0,1.63,1,no
2021-06-02 00:00:00,6.0,7221.0,3.02,2,no
2021-06-03 00:00:00,4.5,5234.0,2.03,3,no
2021-06-04 00:00:00,3.0,9279.0,4.12,4,no
2021-06-05 00:00:00,6.0,12776.0,5.44,5,no
2021-06-06 00:00:00,5.0,6373.0,2.61,6,no
2021-06-07 00:00:00,3.0,7496.0,2.96,0,no
2021-06-08 00:00:00,1.0,3649.0,1.6,1,no
2021-06-09 00:00:00,4.0,4360.0,1.74,2,no
2021-06-10 00:00:00,5.0,374.0,0.162,3,no
2021-06-11 00:00:00,6.0,1870.0,0.878,4,no
2021-06-12 00:00:00,4.0,594.0,0.255,5,no
2021-06-13 00:00:00,4.0,1562.0,0.648,6,no
2021-06-14 00:00:00,3.0,1228.0,0.516,0,no
2021-06-15 00:00:00,5.0,2513.0,1.1,1,no
2021-06-16 00:00:00,3.0,4759.0,1.98,2,no
2021-06-17 00:00:00,2.0,484.0,0.201,3,no
2021-06-18 00:00:00,18.0,3034.0,1.27,4,no
2021-06-19 00:00:00,4.0,1556.0,0.68,5,no
2021-06-20 00:00:00,10.0,2948.0,1.16,6,no
2021-06-21 00:00:00,6.0,3070.0,1.37,0,no
2021-06-22 00:00:00,4.0,706.0,0.32,1,no
2021-06-23 00:00:00,5.0,2414.0,0.994,2,no
2021-06-24 00:00:00,2.0,262.0,0.116,3,no
2021-06-25 00:00:00,7.0,2128.0,0.903,4,no
2021-06-26 00:00:00,3.0,1694.0,0.729,5,no
2021-06-27 00:00:00,3.0,1868.0,0.838,6,no
2021-06-28 00:00:00,2.0,1189.0,0.53,0,no
2021-06-29 00:00:00,2.0,616.0,0.277,1,no
2021-06-30 00:00:00,3.0,1076.0,0.471,2,no
2021-07-01 00:00:00,2.0,1371.0,0.584,3,no
2021-07-02 00:00:00,4.0,979.0,0.45,4,no
2021-07-03 00:00:00,2.0,1215.0,0.526,5,no
2021-07-04 00:00:00,7.0,3430.0,1.49,6,no
2021-07-05 00:00:00,5.0,3696.0,1.54,0,no
2021-07-06 00:00:00,6.0,2184.0,0.903,1,no
2021-07-07 00:00:00,6.0,1571.0,0.662,2,no
2021-07-08 00:00:00,6.0,2519.0,1.09,3,no
2021-07-09 00:00:00,5.0,1218.0,0.488,4,no
2021-07-10 00:00:00,7.0,3909.0,1.55,5,no
2021-07-11 00:00:00,1.0,466.0,0.196,6,no
2021-07-12 00:00:00,5.0,2653.0,1.13,0,no
2021-07-13 00:00:00,5.0,2345.0,1.03,1,no
2021-07-14 00:00:00,8.0,2167.0,0.968,2,no
2021-07-15 00:00:00,3.0,2158.0,0.909,3,no
2021-07-16 00:00:00,6.0,1603.0,0.684,4,no
2021-07-17 00:00:00,3.0,628.0,0.276,5,no
2021-07-18 00:00:00,3.0,1124.0,0.474,6,no
2021-07-19 00:00:00,7.0,3873.0,1.47,0,no
2021-07-20 00:00:00,5.0,1793.0,0.745,1,no
2021-07-21 00:00:00,2.0,1023.0,0.458,2,no
2021-07-22 00:00:00,3.0,1980.0,0.821,3,no
2021-07-23 00:00:00,1.0,168.0,0.073,4,no
2021-07-24 00:00:00,1.0,336.0,0.143,5,no
2021-07-25 00:00:00,4.0,3938.0,1.43,6,no
2021-07-26 00:00:00,4.0,974.0,0.419,0,no
2021-07-27 00:00:00,4.0,1146.0,0.481,1,no
2021-07-28 00:00:00,3.0,706.0,0.312,2,no
2021-07-29 00:00:00,3.0,1334.0,0.517,3,no
2021-07-30 00:00:00,4.0,2084.0,0.901,4,no
2021-07-31 00:00:00,6.0,2653.0,1.02,5,no
2021-08-01 00:00:00,2.0,4878.0,1.91,6,no
2021-08-02 00:00:00,7.0,1693.0,0.733,0,no
2021-08-03 00:00:00,8.0,2011.0,0.898,1,no
2021-08-04 00:00:00,4.0,5050.0,2.16,2,no
2021-08-05 00:00:00,5.0,1252.0,0.541,3,no
2021-08-06 00:00:00,6.0,1223.0,0.503,4,no
2021-08-07 00:00:00,5.0,1005.0,0.43,5,no
2021-08-08 00:00:00,8.0,3984.0,1.71,6,no
2021-08-09 00:00:00,6.0,1217.0,0.527,0,no
2021-08-10 00:00:00,7.0,6316.0,2.59,1,no
2021-08-11 00:00:00,10.0,5422.0,2.64,2,no
2021-08-12 00:00:00,4.0,498.0,0.215,3,no
2021-08-13 00:00:00,3.0,4014.0,1.67,4,no
2021-08-14 00:00:00,5.0,718.24,0.318,5,no
2021-08-15 00:00:00,6.0,539.0,0.248,6,no
2021-08-16 00:00:00,3.0,10059.0,4.04,0,no
2021-08-17 00:00:00,5.0,3835.0,1.77,1,no
2021-08-18 00:00:00,4.0,3537.0,1.57,2,no
2021-08-19 00:00:00,4.0,9501.0,3.65,3,no
2021-08-20 00:00:00,7.0,6837.0,2.85,4,no
2021-08-21 00:00:00,2.0,2915.0,1.28,5,no
2021-08-22 00:00:00,4.0,556.0,0.241,6,no
2021-08-23 00:00:00,4.0,1419.0,0.577,0,no
2021-08-24 00:00:00,4.0,2940.0,1.3,1,no
2021-08-25 00:00:00,5.0,1016.0,0.44,2,no
2021-08-26 00:00:00,4.0,152.0,0.066,3,no
2021-08-27 00:00:00,3.0,822.0,0.363,4,no
2021-08-28 00:00:00,3.0,1660.0,0.714,5,no
2021-08-29 00:00:00,5.0,3835.0,1.58,6,no
2021-08-30 00:00:00,3.0,1054.0,0.451,0,no
2021-08-31 00:00:00,5.0,1125.0,0.491,1,no
2021-09-01 00:00:00,3.0,1183.0,0.51,2,no
2021-09-02 00:00:00,10.0,1311.0,0.586,3,no
2021-09-03 00:00:00,6.0,1961.0,0.833,4,no
2021-09-04 00:00:00,5.0,3268.0,1.22,5,no
2021-09-05 00:00:00,3.0,425.0,0.187,6,no
2021-09-06 00:00:00,3.0,749.0,0.323,0,no
2021-09-07 00:00:00,4.0,821.0,0.354,1,no
2021-09-08 00:00:00,3.0,477.0,0.209,2,no
2021-09-09 00:00:00,2.0,1454.0,0.611,3,no
2021-09-10 00:00:00,5.0,680.0,0.308,4,no
2021-09-11 00:00:00,4.0,4868.0,1.91,5,no
2021-09-12 00:00:00,6.0,9391.0,3.78,6,no
2021-09-13 00:00:00,1.0,9867.0,4.27,0,no
2021-09-14 00:00:00,2.0,6611.0,2.74,1,no
2021-09-15 00:00:00,3.0,8984.0,3.98,2,no
2021-09-16 00:00:00,6.0,8131.0,3.24,3,no
2021-09-17 00:00:00,9.0,12764.0,5.32,4,no
2021-09-18 00:00:00,4.0,12471.0,5.19,5,no
2021-09-19 00:00:00,2.0,10413.0,4.58,6,no
2021-09-20 00:00:00,1.0,8618.0,3.82,0,no
2021-09-21 00:00:00,2.0,7989.0,3.42,1,no
2021-09-22 00:00:00,4.0,9049.0,3.8,2,no
2021-09-23 00:00:00,2.0,6047.0,2.73,3,no
2021-09-24 00:00:00,5.0,14374.0,6.45,4,no
2021-09-25 00:00:00,2.0,3444.0,1.42,5,no
2021-09-26 00:00:00,5.0,903.0,0.344,6,no
2021-09-27 00:00:00,8.0,10250.0,4.62,0,no
2021-09-28 00:00:00,2.0,10499.0,4.69,1,no
2021-09-29 00:00:00,1.0,5267.0,2.3,2,no
2021-09-30 00:00:00,1.0,3526.0,1.6,3,no
2021-10-01 00:00:00,2.0,9055.0,4.28,4,no
2021-10-02 00:00:00,2.0,395.0,0.168,5,no
2021-10-03 00:00:00,2.0,691.0,0.312,6,no
2021-10-04 00:00:00,2.0,5142.0,2.35,0,no
2021-10-05 00:00:00,2.0,9293.0,4.18,1,no
2021-10-06 00:00:00,6.0,10543.0,4.91,2,no
2021-10-07 00:00:00,2.0,10714.0,4.92,3,no
2021-10-08 00:00:00,5.0,8838.0,3.89,4,no
2021-10-09 00:00:00,3.0,9696.0,4.31,5,no
2021-10-10 00:00:00,1.0,3530.0,1.46,6,no
2021-10-11 00:00:00,2.0,7154.0,3.28,0,no
2021-10-12 00:00:00,6.0,7946.0,3.62,1,no
2021-10-13 00:00:00,6.0,6348.0,2.95,2,no
2021-10-14 00:00:00,3.0,9491.0,4.17,3,no
2021-10-15 00:00:00,4.0,7221.0,3.18,4,no
2021-10-16 00:00:00,3.0,5636.0,2.42,5,no
2021-10-17 00:00:00,2.0,249.0,0.11,6,no
2021-10-18 00:00:00,1.0,4872.0,2.23,0,no
2021-10-19 00:00:00,3.0,4505.0,1.99,1,no
2021-10-20 00:00:00,3.0,6266.0,2.75,2,no
2021-10-21 00:00:00,8.0,6153.0,2.73,3,no
2021-10-22 00:00:00,2.0,7556.0,3.38,4,no
2021-10-23 00:00:00,1.0,391.0,0.154,5,no
2021-10-24 00:00:00,2.0,733.0,0.328,6,no
2021-10-25 00:00:00,4.0,6600.0,2.94,0,no
2021-10-26 00:00:00,7.0,4917.0,2.13,1,no
2021-10-27 00:00:00,5.0,5989.0,2.65,2,no
2021-10-28 00:00:00,3.5,3084.0,1.39,3,no
2021-10-29 00:00:00,2.0,6939.0,3.11,4,no
2021-10-30 00:00:00,3.0,12327.0,5.73,5,no
2021-10-31 00:00:00,2.0,3496.0,1.56,6,no
2021-11-01 00:00:00,1.0,4139.0,1.73,0,no
2021-11-02 00:00:00,2.5,2191.0,0.998,1,no
2021-11-03 00:00:00,4.0,11055.0,4.99,2,no
2021-11-04 00:00:00,3.0,5024.0,2.23,3,no
2021-11-05 00:00:00,2.0,6237.0,2.7,4,no
2021-11-06 00:00:00,1.0,309.0,0.138,5,no
2021-11-07 00:00:00,2.0,2000.0,0.908,6,no
2021-11-08 00:00:00,3.0,6312.0,2.66,0,no
2021-11-09 00:00:00,1.0,4397.0,1.93,1,no
2021-11-10 00:00:00,4.0,2590.0,1.14,2,no
2021-11-11 00:00:00,5.0,7010.0,2.93,3,no
2021-11-12 00:00:00,3.0,9129.0,4.24,4,no
2021-11-13 00:00:00,5.0,418.63,0.186,5,no
2021-11-14 00:00:00,7.0,3797.0,1.67,6,no
2021-11-15 00:00:00,2.0,5562.0,2.56,0,no
2021-11-16 00:00:00,16.0,6153.0,2.69,1,no
2021-11-17 00:00:00,3.0,4101.0,1.9,2,no
2021-11-18 00:00:00,4.0,3519.0,1.59,3,no
2021-11-19 00:00:00,1.0,5615.0,2.61,4,no
2021-11-20 00:00:00,4.0,6913.0,3.22,5,no
2021-11-21 00:00:00,4.0,239.0,0.103,6,no
